Modelo,Acc_Treino,Acc_Teste,F1_Treino,F1_Teste,Gap_F1
Random Forest,1.0,0.6933333333333334,1.0,0.6514447363103657,0.3485552636896343
Decision Tree,1.0,0.6533333333333333,1.0,0.6345577211394302,0.3654422788605698
KNN,0.7771428571428571,0.6533333333333333,0.7606019151846786,0.6238425925925926,0.136759322592086
SVM,0.7771428571428571,0.68,0.7451551473059259,0.6237458193979933,0.12140932790793257
Logistic Regression,0.7085714285714285,0.6533333333333333,0.6803481250671537,0.61,0.07034812506715371
Naive Bayes,0.72,0.6533333333333333,0.6951111111111111,0.61,0.08511111111111114
Gradient Boosting,0.9942857142857143,0.6,0.9940029471231281,0.5296822742474916,0.4643206728756365
