Modelo,Acc_Treino_Media,Acc_CV_Media,Acc_CV_Desvio,F1_Treino_Media,F1_CV_Media,F1_CV_Desvio,Gap_Acc,Gap_F1,Acc_OOF,F1_OOF
SVM,0.748,0.7200000000000001,0.0521536192416212,0.7141838618619959,0.6784894864802669,0.060121923754666046,0.027999999999999914,0.03569437538172904,0.72,0.6804003214259624
Naive Bayes,0.701,0.6960000000000001,0.04799999999999999,0.6710687667747742,0.662086851737471,0.05053201303639131,0.004999999999999893,0.008981915037303279,0.696,0.663216108905275
Logistic Regression,0.6989999999999998,0.6960000000000001,0.0637495098020369,0.6693889516354586,0.6608182493319091,0.07279590286358223,0.0029999999999997806,0.008570702303549504,0.696,0.663216108905275
KNN,0.7669999999999999,0.6759999999999999,0.036660605559646696,0.7522814575109261,0.6457853718323385,0.051605748322433954,0.09099999999999997,0.1064960856785876,0.676,0.6525096525096525
Random Forest,1.0,0.6679999999999999,0.06013318551349163,1.0,0.6344192328458451,0.0695787434117283,0.3320000000000001,0.3655807671541549,0.668,0.6370537510276189
Gradient Boosting,0.983,0.6599999999999999,0.03794733192202055,0.9821843028953829,0.6313568507598358,0.05242745050414752,0.32300000000000006,0.3508274521355471,0.66,0.6353496353496353
Decision Tree,1.0,0.64,0.04898979485566357,1.0,0.6176282094386705,0.0508399615010008,0.36,0.3823717905613295,0.64,0.6179966044142615
