Modelo,Acc_Treino,Acc_Teste,F1_Treino,F1_Teste,Gap_F1
Naive Bayes,0.7657142857142857,0.8133333333333334,0.765591819399523,0.8125,-0.04690818060047697
Gradient Boosting,1.0,0.7866666666666666,1.0,0.7863247863247863,0.2136752136752137
Logistic Regression,0.7657142857142857,0.76,0.7657142857142857,0.7599573257467995,0.005756959967486153
Decision Tree,1.0,0.76,1.0,0.7596153846153846,0.24038461538461542
SVM,0.8171428571428572,0.7466666666666667,0.8171368861024033,0.7466666666666667,0.07047021943573661
Random Forest,1.0,0.7466666666666667,1.0,0.7459440185416295,0.2540559814583705
KNN,0.8,0.6933333333333334,0.7997646212690837,0.69245854876092,0.10730607250816371
